Job Code,Job Code Desc,Standard Labour Hrs,Billing Hrs,Type,Parent Product Line,Status,Aggregate,Job Code Type
15010,R/R CYLINDER HEAD GASKET DIESEL,2.7,2.7,Labour,Palio,Active,,
15010,R/R CYLINDER HEAD GASKET DIESEL,2.7,2.7,Labour,Palio Stile,Active,Engine,
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,1,1,Labour,Adventure,Active,,
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,1,1,Labour,Adventure,Active,Engine,Major
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,1,1,Labour,Aria,Active,Engine and Accessories,Major Repair
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,2.2,2.2,Labour,Aria,Active,0,0
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,1,1,Labour,Fiat500,Active,,
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,0.5,0.5,Labour,Grande Punto,Active,,
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,1,2,Labour,Indica,Active,,
15100,CYL. HEAD REMOVE AND DETERMINE CONDITION,1.8,2.2,Labour,Indica Vista,Active,Engine and Accessories,Major Repair
